Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Philippines,PHL,45668192795.9917,47404022481.024,56056580303.5836,57395771164.5038,68414709178.9026,79208058843.2962,89581861777.4551,90571146376.435,78169985253.975,89731686931.8723,84581118725.3748,79595599320.7617,84849624884.4186,87312273574.5341,92704698231.3808,105017715497.777,123619733563.454,148699594543.906,176677586983.443,175966969263.121,206135924716.328,230737385312.53,262568198012.994,287331942359.665,299541131461.62,311490681521.768,323895918510.462,333702122642.386,350371847985.215,375755437994.094,350838234571.58,361503537885.292,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Poland,POL,37237066929.342,50153542314.5397,58579637655.4337,67558956837.5794,87969805938.7955,119253736023.581,135505478247.031,135256643699.977,148774533344.732,144855992610.143,147215418993.567,162616543952.246,169689819880.692,183965073516.589,210955411488.586,257504293024.314,287703716182.677,357826560597.137,455271791103.515,373574854806.471,400177923918.293,440248634411.117,418874659624.305,435405778177.599,454514261381.585,403152853203.443,395103863402.162,440873228434.714,495579686115.478,502710596495.973,505328890294.291,569915124774.172,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Portugal,PRT,67069403564.6793,76631166081.3347,93504605535.898,82335266213.9809,85843324768.9806,100673182942.624,104461341873.301,99173649588.1285,105249851538.536,108185208905.385,98589271955.9326,100716343347.206,111600682137.549,137209344035.732,156606269794.161,162713643999.372,168962105142.12,194996593792.04,210657708614.854,194775519089.138,189703505398.065,197811807956.658,172174276748.538,183928038210.554,184941985721.87,159627045682.08,165809407889.938,177818786447.732,193659231527.8,191198763626.932,179900977275.456,200174696009.594,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Qatar,QAT,4110273123.21508,4913190486.723,5435120928.0244,5118097209.71567,5248361621.5302,5839015342.31965,5730041304.12112,8176535941.12921,7017353249.29963,8339183321.63918,11390206560.8107,12212118634.0462,14771552241.4053,18518412582.0731,22955656009.927,29399058150.259,41661593720.9985,54850395692.7773,75883684758.2872,63812422841.207,76789644297.0726,103225736009.471,118906228101.314,131786335715.898,142481956910.961,120141100027.234,115701983315.067,122516917362.986,133380542292.003,128532465470.175,106756505660.991,129445374904.435,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Romania,ROU,27936361220.1434,21385821247.8893,18551424092.0164,19237315964.1634,22017142752.3209,27149199637.0124,26287538752.1706,26139770449.6058,32009754298.9541,27560484990.4259,28785095121.0871,31180205231.5699,34449315208.7777,43338076559.7678,56378152041.5237,76440208743.8577,95650532679.6628,137280108270.338,175118435180.086,141780419745.511,136666315046.453,151793816962.225,140747157845.995,149857204478.449,159985480919.68,142883559338.88,148532749748.337,169614904201.778,195264564875.029,203940206516.737,208102913402.839,233181340765.208,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Russian Federation,RUS,..,..,230871451422.493,215633577276.061,197959763560.378,189313141134.741,230907178539.726,253112132501.577,173422264025.367,140313883107.266,187556576288.403,228828334751.111,259350313491.648,320709304540.262,453389744102.772,584447840555.955,767269929432.493,1038290160142.62,1296611816638.03,955461076803.67,1219922709647.32,1623858947591.15,1751966020975.53,1806411663225.21,1612079764584.28,1083892657483.01,1014590706948.43,1240696361250.36,1281258854056.04,1306105725666.98,1193558847174.42,1323903854187.55,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Rwanda,RWA,2229300761.50942,1631151334.26465,1738470988.42502,1694535479.00777,535339171.602547,1002172161.38934,1065742086.48376,1461588486.28019,1575848880.35106,1806668304.26727,1760020342.94882,1659940242.15747,1649603687.02408,1725626586.29907,1964680956.89066,2470158285.44777,2817460524.54587,3425077780.45509,4206231860.354,4638543617.97428,5020477758.28278,5627671312.78933,6215412417.41647,6305084646.44227,6609315653.64801,6950737986.35936,7006635237.62609,7342473062.54547,7743683361.86707,8375800501.34836,8275811725.74515,8997489877.93417,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Samoa,WSM,75792918.3417363,74519095.9217966,..,..,..,..,..,..,..,..,..,..,233090805.125561,273250862.415929,336384064.728664,392538587.838572,414814983.175276,484847503.911561,543702728.977864,543711064.583273,597791302.614424,650675205.048455,681786053.82625,703397165.160062,697008747.222671,732622037.78255,749022895.447957,781055843.044774,776983684.57527,802205352.00832,764279668.593288,756550038.493749,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Sao Tome and Principe,STP,..,..,..,..,..,..,..,..,..,..,..,61693233.0514191,69068859.7169609,83645894.1852443,95342337.1250753,115725858.395181,127435448.361345,134050245.514685,166996536.292131,169432746.441266,179650661.720436,216046386.074266,227210081.997785,187936536.027953,252421424.259174,183054802.357012,227148144.47173,265731945.342471,300976439.777192,316807906.224543,369456756.035612,426049350.460967,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Saudi Arabia,SAU,95386613381.3495,108101004199.453,114092656016.795,110568164534.244,110056185271.554,116964813834.224,124230262386.65,132650853252.777,120073589269.399,133638032819.378,148829085891.885,148665573369.831,156404054635.785,170657457934.94,197685471771.857,250455505718.936,289018300633.62,324878834419.179,395203007130.125,353406338063.88,430666443925.09,524049717125.848,573183988466.753,582966076999.36,599085982691.053,529731184587.035,536121085525.7,568764219859.27,670840756388.555,666881142022.419,594398239743.762,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Senegal,SEN,6992239587.75992,6798865308.64966,7276931812.9222,6719370857.3596,4512609035.91112,5573230477.50686,5845457256.67271,5303613821.3687,5715371856.58755,5766407659.80873,5258503149.61677,5755956988.64533,6168121210.00344,7763168015.83177,8945749982.24865,9774658471.66798,10380640230.5691,12459328480.2776,15095615649.4574,14300887187.1336,14339035934.4364,15586284231.9574,15321593739.7761,16449301327.0265,17245451501.5829,15503087529.9722,16551134292.744,18404630534.6997,20196827765.0533,20296897126.0775,21283050736.1162,23712074299.791,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Serbia,SRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26906954932.0196,35332930423.871,42974405258.9383,37711138620.9904,34805712687.3679,39590640929.9824,35127491039.7999,39658299596.2649,38695720367.8321,32529189657.5299,33028807359.8178,35288389718.1392,40979555733.0925,41260282499.3191,43818210165.937,50790254320.7757,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Seychelles,SYC,324533847.857542,322329502.478498,389036047.735251,423463583.180196,439743128.500369,442868077.397416,438796048.499545,489751028.751482,518915645.303305,525289718.542082,512036736.421293,534906190.739495,549628904.524527,584337606.603596,755909675.645993,820949770.14449,906755306.751748,846785801.279251,783140557.225753,703055779.850612,812404849.809489,868403593.241746,875995695.615983,1102533983.64592,1132657343.40951,1155276355.48746,1189645617.35202,1261706747.66592,1338051823.68517,1402402857.04624,1055789916.70416,1216133029.01781,..,..
